F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-69.39,35543.37,12,UK,-7943.79,295.86,93.32,18.38,Very low,-5.28,1954.56,-11.92,-4.96,115.23,1132.38,184.11,2289.75,-20834.78,-20.94,2.18,411.24,-64.92,55.92,6597.84,38.72,12,119.88,-566.25,-4603.62,20.21,-36.92,-103.33,-2161.62,0.4,309.16,1.91,-117.48
-44.12,13259.73,15,Europe,-5613.23,90.22,84.6,25.88,High,1.05,2341.29,-4.44,-12.44,43.08,2324.18,359.04,2413.95,-19184.68,-38.16,5.9,243.36,-74.88,-14223.5,-11939.34,47.03,12,-277.15,-662.55,-1439.88,12.08,-50.48,-91.5,-2870,0.12,232.78,3.58,808.56
-17.53,3455.25,0,Rest,-10652.28,582.87,12.58,13.38,Low,41.31,1884.33,2.64,-7.28,287.34,1477.78,1990.32,2412.48,-10433.46,-23.49,3.4,309.63,-61.5,-14908.06,-10892.13,60.74,10,0.52,-563.34,-3631.2,23.44,129.1,-55.45,-2595,0.02,196.96,5.58,260.92
-80.4,35328.63,0,Europe,-5540.92,276.42,-106.92,14.77,Low,102.87,2133.12,-12.22,-2.1,222.78,2437.28,136.68,2515.47,-19916.74,-32.46,5.6,330.12,-82.08,-15717.92,-2850.75,51.39,10,-665.21,-650.73,-2818.89,18.68,-67.82,-125.62,-2244.38,77.9,240.08,14.15,-558.28
-16.2,18627.9,15,Europe,-14469.41,210.8,-36.38,14.02,Medium,40.05,400.62,-6.36,-6.62,204.72,1845.7,807.12,1134.07,-4965.22,-38.01,3.34,244.83,-63.12,-14578.06,-1467.3,87.08,6,-500.36,-393.78,-2793.3,24.6,-154.98,-88.55,-3631.74,0.06,213.38,8.19,-80.66
-41.48,31775.46,9,Rest,-9166.5,470.13,-4.88,18.84,Very low,192.84,1055.43,-4.52,-2.8,105.06,1838.42,541.02,2616.68,-11514.2,-20.37,3.86,449.58,-44.88,-20598.34,-4092.03,79.39,6,-20.62,-631.29,-3676.89,16.38,-6.8,-104.06,-1419.86,138.4,191.6,8.47,89.62
-39.08,22987.17,15,Rest,-4775.85,419.41,43.62,15.63,Very high,-33.63,1560.48,-8.64,5.66,214.02,2424.8,123.45,2858.8,-18381.7,-25.8,8.56,381.69,-70.5,-9186.22,-8811.54,-34.65,18,-49.06,-633.84,-4112.4,17.19,-85.56,-79.51,-2787.34,0.16,160.14,3.81,202.36
-80.45,26683.02,15,USA,-8209.41,-378.47,56.5,17.42,Medium,181.02,1658.25,-9.62,-28.92,59.61,2718.94,648.03,2442.56,-27433.54,-37.26,10.22,189.81,-71.28,-17108.56,-20570.7,55.43,6,-556.72,-654.87,-2529.18,14.32,-113.34,-106.72,-1125.66,0,219.42,6.75,-1337.4
-82.6,27018.72,18,Europe,-4500.86,535.84,38.7,-7.09,Medium,125.34,2070.36,-3.47,-9.72,151.11,2291.84,1299.99,2357.99,-13698.6,-42.24,4.5,333.63,-72.06,-24029.24,1872.42,-5.85,8,52.7,-609.69,-3648.39,25.47,-18.54,-44.8,-1926.16,17.42,151.08,2.61,1821.29
9.69,36398.43,18,UK,-6278.51,64.33,24.12,13.93,Low,77.37,2223.15,-11.87,11.82,131.52,2113.26,1155.39,2442.59,-9861.4,-44.07,11.12,765.6,-68.46,-3236.16,-15307.2,4.2,0,-307.29,-624.96,-4662.39,16.79,-140.38,-51.29,-1808.18,17.78,134.92,3.46,180.78
-71.92,11627.7,18,USA,-13746.24,476.83,23.58,30.47,High,113.88,750.78,-8.78,8.66,159.87,1897.96,-993.12,2364.2,-22813.66,-42.9,8.14,237.39,-76.62,-21883.76,-741.51,9.83,6,-459.14,-711.03,-5229.33,17.72,72.12,-65.73,-1655.92,1.5,202.92,7.48,-69.09
-39.86,22059.12,6,Rest,-9390.92,297.32,95.52,18.75,Low,175.77,289.53,-11.84,18.12,118.14,2754.32,354.42,2697.67,-13622.82,-21.18,15.82,443.1,-82.29,-14383.32,-20308.89,22.84,6,281.79,-542.79,-5785.62,13.22,-26.08,-79.68,-2679.5,0.5,147.48,0.94,983.07
-59.58,19699.08,12,USA,-9886.04,68.85,4.98,16.3,Very low,97.44,2191.05,-13.36,-2.68,112.14,2113.56,515.01,2351.37,-15710.44,-41.13,3.6,468.57,-72.18,-24449.48,-9129.96,50.33,10,-241,-461.4,-4688.49,18.41,-57.06,-93.54,-1487.44,5.64,201.9,17.59,-2281.95
-50.88,18223.77,12,Europe,-9555.55,227.27,48.82,17.66,Very low,-23.28,1106.58,-10.53,0.16,114.09,1092.84,1104.81,2145.51,-15295.88,-28.83,7.82,311.91,-84.36,-19484.58,-4724.01,73.8,8,-129.52,-711,-3484.38,14.91,-22.1,-149.92,-1577,3.72,144.16,9.88,-1427.67
-68.8,11079.39,18,USA,-10419.92,852.13,-60.7,14.75,Very low,38.97,-629.64,-7.25,-12.12,165.93,2275.28,1596.54,2334.04,-16080.28,-21.15,6.22,427.41,-79.47,-14712.48,-1748.58,89.47,12,249.61,-764.43,-3671.7,9.21,51.5,-66,-1986.54,9.2,179.26,6.13,-634.52
-100.38,31731.93,18,USA,-11283.76,302.2,4.46,17.65,High,26.22,1414.23,-5.34,4.22,107.04,2168.36,-84.24,2486.87,-21684.56,-30.27,4.98,340.5,-67.68,-15104.6,831.78,33.34,10,-307.54,-597.03,-3477.63,4.42,-122.28,-99.68,-2076.06,0.12,260.22,2.37,346.37
-111.54,10887.48,15,UK,-12087.77,173.71,39.46,18.11,Very high,183.51,1192.14,-9.49,-12.78,253.65,2071.36,1121.61,2161.89,-14518.2,-19.38,2.92,356.85,-62.82,-28797.42,-6398.31,15,2,323.49,-595.32,-4050.51,18.58,486.86,-126.08,-2814.44,2.82,268.58,8.52,3258.23
-73.89,45675.45,24,USA,-8082.49,126.89,51.72,18.9,Very low,102.99,1713.75,-9.32,-6.56,124.77,2582.78,-182.01,2452.89,-17032.2,-37.89,4.12,351.12,-57.06,-11135.04,-7551.18,26.91,6,309.12,-592.77,-3770.79,13.74,-8.3,-95.67,-1337.76,502.06,298.48,1.9,153.71
-153.25,23310.48,21,Europe,-10542.65,660.14,65.3,15.53,High,35.46,1220.25,-17.74,-2.5,64.5,2616,815.49,2064.54,-11318.72,-36.33,1.82,436.11,-71.85,-19454.14,-13989.87,33.31,10,36.81,-518.46,-4196.88,15.61,127.88,-100.51,-2548.54,0.58,261.5,2.59,1208.78
-108.38,2354.13,3,UK,-5577.79,323.04,101.1,16.3,Very low,204.09,2000.67,-8.85,3.42,83.88,1349.78,-453.66,1669.66,-7480.5,-28.11,11.9,385.59,-70.59,-16902.68,-4952.16,80.54,4,-339.93,-468.33,-4035.45,15.84,-47.14,-114.17,-2110.78,8.76,200.62,5.49,1740.95
-75.24,32138.34,18,UK,-7689.34,249.14,82.52,24.88,High,153.18,1700.73,-0.39,-24.36,67.02,1078.98,1647.12,2171.97,-23751.28,-30.84,11.56,457.41,-72.24,-3781.22,-11517.6,45.02,4,378.59,-548.58,-4791.57,11.71,12.16,-67.6,-2600.94,0.42,202.72,6.42,-52.5
-100.84,19380.36,6,USA,-9278.99,789.74,-71.78,16.33,High,-26.04,2121.27,-5.7,-4.66,140.22,1824.12,-920.16,2753.59,-15920.88,-37.08,7.82,448.08,-96.51,-19651.94,9697.92,-29.33,6,-370.77,-646.56,-2540.94,12.55,24.44,-64.73,-2413.82,0.74,196.48,6.3,1295.07
-85.73,15145.83,6,USA,-9799.8,236.9,6.12,11.51,High,43.38,1082.43,-6.78,-9.38,100.08,2675.96,159.57,1933.31,-10844.9,-48.9,2.18,493.26,-66.72,-12001.42,-17881.8,92.03,10,-432.17,-681.81,-3742.86,14.1,104.9,-115.87,-2706.74,0.1,321.92,1.1,1759.64
-75.7,16805.49,9,Rest,-9581.77,-69.11,9.86,15.35,Medium,55.65,2858.34,1.41,3.04,28.2,2831.62,-191.22,2144.73,-16005.98,-36.9,10.58,427.26,-66.99,-20356.7,-11337.63,113.62,8,317.62,-697.98,-3117.78,16.82,-248.52,-102.14,-2264.94,0.3,75.04,6.31,283.13
-32.57,38316.3,18,Europe,-12616.54,484.02,-10.76,16.14,Medium,140.91,1011.12,-14.45,12.28,134.01,2264,1245.69,2644.85,-18182.36,-23.52,7.28,184.65,-85.23,-14107.54,8160.27,59.27,6,-166.19,-662.43,-4125.06,6.55,70.68,-103.15,-2101.18,1,268.1,7.11,-993.43
-60.92,31710.36,3,Europe,-9560.07,402.38,-39.92,9.38,Very high,176.97,2033.67,-5.7,-14.02,205.56,2836.28,2105.19,2663.98,-12956.3,-41.64,17.64,188.16,-72.96,-12082.84,-5952.75,3.12,8,-564.81,-641.7,-3081.36,15.8,-50.32,-77.04,-2895.34,0.96,45.64,3.88,2827.9
-82.65,41460.3,15,Europe,-11658.84,276.36,-5.38,18.1,Medium,-201.69,1116.72,-11.77,0.96,153.9,2959.6,35.31,2266.47,-18015.7,-30.63,2.86,340.11,-85.35,-23475.62,6742.56,27.49,6,-15.01,-553.77,-4213.44,17.19,-123.54,-87.33,-1185.24,417.68,217.2,4.22,1950.78
-93.65,28849.53,15,UK,-13366.23,402.91,-56.16,24.18,Very low,23.25,1606.14,-10.77,-0.22,-5.94,2415,326.85,3228.36,-21512.1,-39.45,9.86,346.2,-75.21,-15413.36,8052.39,38.8,12,-134.09,-570.72,-4729.86,15.96,137.04,-71.24,-1831.96,2.1,280.06,2.36,0.92
-98.09,11163.27,12,Rest,-11296.92,392.67,-53.28,5.31,Low,50.31,2090.22,-11.65,-0.12,62.22,2130.02,1421.7,2211.59,-14752.16,-34.44,3.68,293.88,-27.6,-18314.46,9695.07,4.02,4,67.11,-690.06,-8550.78,16.22,62.84,-76.17,-2799,14.74,268.16,2.13,1172.44
-77.36,7680.48,18,UK,-11106.56,-47.92,-22.52,12.36,Very high,36.78,2388.36,-7.46,-19.14,153.21,2267.62,443.4,1541.69,-9551.44,-16.98,19.52,259.83,-48.81,-20732.56,-4073.55,52.87,4,-484.31,-679.17,-1589.46,21.88,-97.04,-33.86,-2264.92,0.22,190.8,2.62,2449.37
-35.07,17388.03,9,UK,-8271.43,68.61,119.28,14.72,Very low,240.57,1549.65,-8.79,5.88,58.92,3007.82,266.37,2482.33,-13956.16,-36.81,11.78,409.65,-48.69,-2945.38,-2959.92,95.24,8,73.65,-777.42,-1373.19,15.73,67.44,-105.6,-1136.1,43.46,266.34,5.2,-102.48
26.56,21361.8,12,USA,-8714.14,-93.77,40.72,14.75,High,152.73,1874.34,-11.69,11.46,8.91,1817.62,-774.33,1912.76,-9277.32,-25.17,3.88,250.38,-80.67,-13101.86,-1617.24,34.58,8,-491.87,-651.66,-3017.46,13.06,-22.42,-127.95,-2992.3,1.36,78.02,2.78,1676.08
-29.22,15055.2,27,USA,-6696.43,-38.52,46.38,16.02,Medium,-25.05,2011.74,-13.56,0.94,23.94,1161,-158.1,2162.61,-16232.72,-11.07,5.92,318,-66.84,-28932.32,-6572.34,114.97,6,-395.65,-567.45,-5092.11,23.85,92.64,-64.93,-1147.42,1.3,186.54,5.99,-816.32
-126.86,10713.57,9,USA,-6639.53,324.12,72.34,9.61,Low,55.89,921.36,-10.08,2.02,200.07,1875.32,-2000.16,2515.08,-29948.48,-28.29,6.36,373.74,-61.89,-15133.06,-8829.09,51.36,6,-445.05,-351.66,-6165.06,16.73,-57.18,-67.11,-1344.82,0.04,178.6,5.12,-580.49
-81.13,14381.61,12,Europe,-11789.38,389.49,-45.14,14.85,Very low,210.84,778.56,-13.01,11.06,194.73,1660.52,1672.38,2669.37,-22863.82,-23.52,2.76,155.4,-92.46,-23930.62,-3682.74,62.45,8,51.63,-699.24,-3785.64,19.38,-176.58,-63.33,-2869.7,9.46,2.24,2.28,2447.28
-79.21,16165.53,12,USA,-10444,533.86,-9.88,19.41,Very low,112.65,1039.11,-8.62,-2.38,180.87,3192.52,716.73,2466.88,-14951.76,-25.47,1.74,208.35,-77.07,-6516.5,-4387.59,17.7,12,327.1,-615.18,-3941.64,19.99,-10.84,-108.9,-1910.38,5.08,168.68,7.2,-761.62
-79.85,29653.77,15,USA,-10754.17,426.76,1.3,13.06,Low,28.77,414.9,-11.09,-12.72,160.68,1405.28,1189.95,2692.48,-14143.32,-33.87,7.52,147.75,-69.09,-16180.18,-37198.62,44.07,4,-21.43,-538.62,-4026.99,18.09,-27.02,-77.89,-1832.16,11.4,212.7,7.4,-92.61
-91.24,15812.19,9,Europe,-7065.04,151.53,-44.12,17.55,High,196.83,-287.04,-9.92,0.54,278.61,1588.84,1196.88,2562.23,-12198.46,-24.33,8.74,380.1,-79.59,-16083.46,-7593.72,103.07,10,-723.22,-852.63,-2491.17,15.98,-8.86,-94.04,-1787.76,0.94,189.24,1.63,1821.85
-87.72,13444.05,6,USA,-10664.17,116.46,4.42,13.4,Very low,10.41,1842.24,-12.29,-5.58,167.46,1818.5,790.74,2394.89,-19598.04,-25.47,2.08,424.59,-71.88,-16571.5,-2512.05,-32.26,8,-59.07,-905.61,-5921.97,18.82,-132.52,-117.47,-1427.14,1.34,104.76,1.18,733.51
-35.86,39496.41,6,USA,-7530.74,448.82,-31.86,28.81,Low,26.85,1574.25,-9.86,-4,234.84,1452.3,1499.1,2692.26,-18605,-26.43,2.62,464.88,-66.06,-16666.14,-1542,54.64,6,-544.87,-613.02,-4978.47,15.16,60.74,-81.91,-749.16,0.24,-34.26,0.74,418.87
-118.05,28924.14,9,Rest,-11843.18,188.04,-26.58,12.39,Low,-72.36,801.09,-13.22,-1.04,51.75,2292.98,176.19,2497.64,-13712.42,-26.43,8.36,336.78,-70.38,-24272.14,-12617.79,-42.02,6,-114.72,-92.49,-4008.27,20.51,7.16,-71.75,-999.66,1.88,46.8,2.17,376.91
-60.65,24327.87,15,Rest,-15364.6,174.53,-23.6,15.1,Medium,186.42,1859.46,-9.97,-7.7,95.37,2824.34,234.63,2148.88,-20430.16,-36,8.16,300.06,-74.79,-19950.38,-4988.52,32.35,10,180.34,-430.56,-2557.65,20.67,-31,-78.71,-1992.06,1065.8,182.52,2.76,1057.77
-73.83,21600.45,12,UK,-8943.9,-43,32.04,12.4,High,40.8,2050.23,-10.07,-5.94,259.38,1426.72,351.69,2733.44,-19384.76,-12.06,2.62,444.69,-62.43,-13753.68,-1021.62,13.48,12,-136.93,-589.98,-7112.88,12.63,-43.76,-91,-2294.34,8,204.2,1.74,3010.62
-87.24,21591.45,12,Europe,-6162.54,-383.67,39.48,25.08,Low,110.94,1544.49,-10.67,7.32,262.83,1997.94,-711.06,2357.93,-15968.9,-38.01,14.7,477.84,-67.77,-14130.58,-11333.52,-15.98,12,-818.62,-572.61,-4379.37,18.24,-77.66,-91.07,-2527.12,2.82,-114.24,1.72,1306.66
-55.72,24744.63,12,Rest,-12149.6,367.58,12.74,5.76,High,-136.95,2405.61,-6.81,1.24,101.37,2219.84,2495.46,2521.22,-10043.28,-13.65,4.7,456.36,-110.13,-14018.88,11434.38,4.2,10,-257.35,-341.97,-4421.73,13.9,-48.94,-132.36,-2118.88,0.02,210.8,2.59,203.95
-122.21,30906.51,15,Rest,-5874.65,127.5,63.94,11.75,Medium,240.12,937.17,-9.96,32.34,243.51,3029.28,-348.39,3052.06,-20005.02,-26.64,4.12,416.43,-62.31,-24873.38,3705.75,22.7,8,-843.55,-632.61,-1390.65,11.85,-173.8,-151.63,-2188.36,0.5,468.18,4.82,349.67
-44.16,35729.43,15,USA,-9626.37,184.63,41.18,13.12,High,212.1,703.23,-8.4,-2.64,163.74,2244.32,1442.07,2701.23,-27023.6,-20.07,3.22,400.95,-72.72,-8358.52,-4193.55,78.48,8,-641.53,-648.12,-4011.12,17.04,-70.56,-63.53,-3016.02,1.94,134.6,3.65,1232.01
-52.74,25097.22,21,Rest,-8870.4,-3.53,42.1,13.29,Very high,122.43,2071.05,-9.26,-1.9,241.92,1362.12,1133.76,2529.44,-10106.72,-41.28,9.72,252.21,-67.41,-9388.54,7653.96,25.1,2,-370.36,-662.04,-5814.3,18.42,95.82,-65.95,-1396.34,0.66,160.06,1.45,221.52
-101.94,21904.77,12,UK,-13697.96,15.17,15.24,14.12,Very low,39.66,2169.57,-11.4,-22.78,116.88,1629.44,1757.19,2488.03,-14916.98,-30.3,8.38,337.71,-68.7,-13620.4,-1316.04,48.49,4,-353.5,-614.01,-4168.29,15.23,-67.8,-67.75,-1945.14,352.14,64.98,4.92,1349.35
-92.43,21068.46,6,USA,-10856.3,73.02,-38.34,7.08,Very high,145.35,2837.46,-14.31,16.16,50.07,2588.1,1676.19,2259.91,-19848.34,-27.9,0.32,701.94,-107.73,-9899.62,-18766.47,58.34,4,-294.44,-753.21,-2886.15,17.9,-93.64,-73.92,-1960.7,29.1,304.7,4.79,1954.93
-61.09,19131.45,6,Europe,-9659.22,-27.36,95.14,10.89,Low,364.44,2804.7,-9.04,-9.4,25.26,2310,1483.62,2222.88,-8132.32,-32.85,8,72.42,-70.86,-8875.26,1402.86,49.06,4,-215.07,-762.33,-2679.99,15.05,-254.74,-60.85,-2138.26,45.7,219.4,2.48,2486.23
-117.41,11744.19,9,Rest,-14605.85,327.51,-3.06,7.39,Very low,267.06,2991.54,-13.01,-8.38,139.71,1558.3,467.16,2579.79,-17899.54,-14.7,4.86,342.09,-77.16,-33430.26,3537.99,46.89,2,-336.57,-695.13,-5978.97,16.93,-50.96,-104.26,-1985.32,0.74,185.7,3.34,707.23
-98.19,22311.63,18,Rest,-7583.83,324.28,89.24,17.77,Low,76.59,2942.67,-6.35,-11.78,189.03,2190.56,270.48,2791.81,-7586.82,-18.6,4.1,512.76,-63.21,-16277.7,7883.16,41.41,10,-206.87,-603.6,-4576.68,16.85,-22.24,-90.32,-1705.34,0.14,214.36,1.99,-39.32
-26.77,19665.51,12,UK,-7368.14,-176.14,-64.26,17.18,Very low,-18.51,2710.02,-6.41,4.76,288.42,2257.1,-331.08,2985.75,-8541,-36.87,1.48,219.36,-81.21,-14712.34,2022.57,25.56,6,415.71,-742.89,-3666.72,16.2,-19.22,-122.54,-2639.88,0.2,116.82,11.2,-152.56
-55.88,15437.61,18,USA,-13298.62,350.84,44.84,25.29,Very high,87.18,811.92,-9.43,-0.86,276,1898.7,374.73,1987.49,-21750.94,-28.08,6.66,397.56,-87.06,-13671.4,-18287.13,65.68,10,-496.16,-594.21,-2955.09,17.68,165.28,-83.89,-795.5,0.06,88.6,2.81,-523.09
-75.08,16081.2,15,USA,-12185.19,-31.93,62.6,15.9,High,64.35,1916.25,-10.22,1.88,138,1582.52,601.98,2532.46,-11008.94,-38.28,4.34,473.61,-72.09,-9205.5,-8237.28,76.66,10,147.05,-622.83,-5937.63,16.82,197.38,-119.23,-1527.44,0.62,182.32,3.9,-130.17
-0.12,14334.66,12,UK,-12320.93,441.55,70.7,7.86,Low,124.68,2901.24,-12.09,7.24,65.49,2204,2547.78,3037.19,-18738.54,-27.87,5.8,407.43,-51.27,-23292.26,-18195.03,75.35,8,-88.54,-592.14,-4838.22,15.68,77.36,-102.98,-1697.78,174.78,94,1.81,3345.31
-117.81,27609.36,3,UK,-8193.55,285.34,4.6,20.15,Very high,-37.8,1125.21,-9.81,-3.38,121.92,2275.36,-127.77,2084.29,-17755.36,-29.4,14.02,441.09,-84.9,-25227.38,-14471.28,32.24,8,-321.41,-506.04,-3010.23,9.58,-1.5,-118.23,-1247.62,0.04,219.5,3.6,2299.39
-42.52,12803.91,6,UK,-13726.14,568.19,136.14,13.51,Medium,139.68,-380.07,-10.83,-4.94,120.42,2189.6,-1045.62,2157.12,-9604.82,-35.37,6.3,366.75,-86.04,-22051.96,-19536.39,72.12,4,-451.59,-667.53,-4897.8,17.9,18.38,-109.26,-2129.7,0.2,358.96,5.48,1921.13
-67.6,35095.53,12,Europe,-11228.43,-2.46,-23.06,11.24,Medium,170.01,2149.05,-8.29,2.84,166.47,2582.1,-467.16,2525.08,-17988.02,-35.91,6.28,349.47,-56.4,-10029.74,-7817.22,21.6,8,-280.51,-620.1,-2915.4,11.22,-17,-62.5,-1926.78,2.48,184.74,1.68,1324.19
-79.91,11538.09,6,Rest,-11002.79,234.15,-98.54,11.76,High,-19.53,1554.33,-12.13,0.12,134.49,2578.54,-1005.93,2365.37,-2035.44,-33.03,2.18,448.11,-75.51,-25254.06,5315.4,45.49,8,-268.64,-593.85,-4147.41,17.91,134.48,-70.48,-1839.64,2465.76,205.48,2.84,2107.14
-74.87,24935.22,15,Rest,-10034.98,643.46,41.2,18.89,Very low,-19.32,1287.21,-11.78,-3.82,330.48,2434.6,2068.38,2513.31,-8729.1,-38.64,2.32,344.58,-65.49,-14664.86,-5689.5,67.48,12,-59,-845.19,-3553.92,12.46,-37.72,-55.52,-2140.7,6.48,287.02,2.94,142.36
-117.05,21392.01,12,Europe,-10419.14,677.67,-39.86,14.17,Medium,22.29,293.97,-4.06,-1.48,85.65,1578.3,571.98,2155.84,-12199.18,-24.99,0.7,528.9,-48.93,-10835.4,-4836.3,182.86,10,14.66,-663.15,-5232.36,12.52,-143.94,-43.23,-3254.72,259.84,196.3,1.8,2893.97
-72.38,32431.14,21,UK,-9966.65,215.86,60.8,15.25,Very high,-0.75,2644.38,-9.89,-2.98,165.33,1974.92,295.68,2746.77,-11232.54,-28.95,17.86,386.94,-68.79,-11111.6,-11845.41,51.1,10,-366.86,-640.8,-3184.77,15.66,131.6,-92.15,-1710.72,3677.9,181.32,1.33,3368.71
-99.83,23541.36,9,USA,-8512.36,205.01,28.24,17.65,Low,56.34,1408.44,-8.26,0.8,161.73,2303.96,-150.36,2724.13,-22054.28,-27.9,2.64,340.44,-73.56,-2774.7,-3296.31,-22.64,8,-127.87,-671.25,-2427.09,15.07,-27.04,-144.08,-1838.68,0,119.96,9.85,-2176.45
-85.45,20679.09,9,Rest,-11540.88,119.98,41.04,14.07,Medium,74.25,261.63,-10.64,-5.5,159.3,1642.64,956.79,2484.59,-26479.9,-27.69,8.34,314.76,-86.34,-2791.22,3398.67,18.48,12,128.58,-630.36,-5466.48,16.5,-204.86,-107.55,-1171.54,0,118.1,0.69,-143.62
-101.26,29789.7,15,UK,-13107.38,625.9,-110.14,13.99,Low,-4.71,2543.16,-19.25,-1.34,217.02,2122.92,-868.11,1903.77,-12202.22,-39.06,2.66,290.31,-64.56,-17157.22,2044.38,39.21,10,-158.34,-728.13,-4530.21,17.59,-109.82,-50.08,-2397.88,0.6,181.66,2.27,759.37
-47.3,32224.92,12,Europe,-11778.64,-341.3,70.7,12.42,Low,131.73,2094.42,-13.54,-5.52,144.63,1673.62,-80.22,2484.02,-4810.14,-17.58,1.86,233.16,-59.52,-5311.28,-25522.68,4.32,2,50.04,-565.11,-3899.19,12.64,-33.66,-72.15,-1886.46,2.52,206.3,9.59,-1320
-82.84,-883.98,12,USA,-7249.67,660.48,87.72,19.45,Medium,230.82,854.01,-13.88,-0.92,229.05,2668.64,286.29,1982.67,-8782.14,-19.11,7,253.35,-67.56,-15185.7,-19642.65,72.48,20,-30.85,-653.76,-4043.46,10.62,62.48,-79.89,-811.02,95.72,215.74,5.1,-288.28
-78.93,16317.99,6,USA,-10779.97,253.16,-52.18,14.82,Very low,23.4,1734.33,-9.91,-0.4,127.86,1696.94,1220.49,2189.45,-32198.28,-38.16,9.88,331.14,-32.34,-10344.84,-10340.94,-53.18,10,-504.23,-763.29,-3353.16,14.37,-15.96,-19.49,-2614.44,0.48,228.88,2.14,762.45
-25.87,21464.16,12,UK,-11657.48,688.32,55.88,14.39,Very low,53.79,2444.91,8.85,-8.92,236.67,2224.48,402.33,2221.47,-17610.8,-16.08,6.18,552.15,-91.53,-16486.48,8101.05,30.47,8,-786.37,-592.05,-2225.1,17.55,-65.76,-97.44,-2099.34,28.76,186.6,7.05,107.16
-80.3,23900.01,9,Rest,-9601.83,551.39,-5.2,12.86,High,31.5,3229.08,-6.93,9.6,173.7,1824.76,-456.63,2461.64,-17102.1,-17.22,16.1,685.95,-73.26,-20307.26,11845.05,95.05,4,25.45,-750.15,-3888.51,16.74,-15.12,-67.54,-2285.52,0.56,108.72,2.29,1021.35
