F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
-28751.5,1.73,-4.4416,-5.2638,1531.13,1,4.1887,17917.78,0,-9402.162,-1.3698,53.313,-5.773,7.442,15.912,6.426,9589.3,-3461.79,1.7427,-4822.02,-10.59,False
-28700.163,0.73,-4.5164,-7.089,520.35,1,4.79,16465.98,1,-10951.42,-2.604,24.414,-22.73,4.2655,14.7708,1.7628,10030.84,-3267.48,1.8003,-4866.9,,True
-28691.591,0.73,-5.876,-4.602,1722.95,0,4.659,15556.38,1,-9316.72,-8.758,45.213,-14.19,6.502,17.946,3.3774,9666.1,-3523.569,2.1645,-3547.22,,False
-27460.29,1.73,-4.4082,-7.635,1678.55,1,3.7464,16350.82,1,-11619.82,-4.208,32.64,-3.9156,7.262,17.073,1.5345,9666.12,-3658.65,1.5249,-5202.92,,False
-28682.26,0.73,-5.7728,-9.492,1577.7049,0,3.60789,15754.38,0,-9650.62,-2.2032,36.1275,-12.164,5.5182,18.624,6.165,10069.84,-3468.69,2.7087,-4987.22,-11.11,False
-28683.95,1.73,-4.758,-4.6785,1816.85,1,3.8579,15881.98,1,-10882.42,-5.46,36.7956,-4.3988,4.9224,14.9268,1.36749,9568.92,-3691.11,2.9595,-5132.48,,False
-28712.96,1.73,-4.06682,-5.4906,3930.35,1,4.5303,15949.18,0,-9151.62,-1.147,28.461,-7.907,4.31516,21.318,1.6485,10407.44,-3509.3304,8.886,-4292.62,-10.67,True
-28379.69,0.73,-4.19168,-5.9262,1752.65,1,4.903,16866.58,0,-9668.82,-0.8192,38.2407,-15.25,6.742,14.1501,3.4269,9635.004,-4235.55,3.1362,-5503.62,,True
-28785.55,1.73,-6.854,-5.9589,1481.39,1,5.656,15882.78,1,-10465.82,-0.51206,52.938,-21.91,5.2342,13.407,2.1135,12060.24,-3034.95,3.492,-4851.02,-9.77,True
-28674.87,1.73,-5.1204,-6.6876,1473.45,1,3.838,15580.38,1,-11053.22,-1.876,24.801,-3.86594,6.714,16.623,1.4487,9609.48,-3395.97,1.0821,-4847.42,-10.56,False
-28689.33,0.73,-4.09256,-5.1729,1675.73,0,4.631,16418.78,0,-9575.66,-0.42546,42.927,-85.56,7.43,13.6539,4.611,9022.84,-4250.25,1.2066,-5393.82,-10.11,False
-28666.04,0.73,-4.405,-4.6944,1633.52,0,4.3243,14758.98,1,-9667.82,-2.756,34.287,-4.7031,11.798,13.04352,6.153,9684.78,-7297.05,0.6159,-6373.22,-9.21,False
-28624.5,0.73,-4.12686,-8.235,1567.19,0,4.984,21069.98,0,-9278.04,-1.8424,14.808,-38.92,6.124,13.2663,4.962,9781.1,-2788.35,0.5457,-4832.42,-8.71,True
-28729.2,1.73,-8.8,-14.526,1811.95,0,4.3493,16134.42,1,-12845.82,-3.292,33.774,-15.66,5.5604,13.5183,1.6032,9869.24,-4363.95,7.347,-5121.62,-10.94,True
-28734.13,0.73,-4.5154,-5.4831,1779.65,1,4.3138,15983.06,1,-8539.22,-2.1536,64.056,-10.024,5.6366,17.913,1.28067,9654.406,-3545.73,3.558,-4662.62,,True
-28719.19,0.73,-5.1604,-8.085,2413.05,0,4.4792,17586.18,0,-9299.22,-0.7752,50.136,-11.216,4.893,18.492,7.737,11001.44,-3586.5,1.3395,-4892.76,,True
-28708.505,0.73,-4.9806,-8.364,1385.65,0,3.818,16085.44,1,-10516.82,-0.5268,33.432,-15.59,4.9602,17.685,2.5848,9095.24,-3551.49,2.2971,-5213.58,,False
-28684.05,1.73,-4.8568,-6.9492,1747.15,1,5.232,16189.618,1,-9824.62,-1.9728,31.455,-17.13,6.22,13.6029,4.203,9703.32,-4544.25,1.4829,-5354.02,-9.41,False
-28700.502,1.73,-7.09,-5.1315,1496.65,0,4.0908,16137.42,0,-12319.82,-0.7964,55.308,-29.32,7.484,15.4854,2.0622,10628.84,-3554.1,11.247,-6013.62,-10.87,False
-28377.09,0.73,-4.2674,-9.963,1884.25,0,4.4945,20627.98,1,-9218,-0.8206,31.284,-9.732,4.27148,20.877,8.259,9494.32,-3470.19,0.7422,-4849.82,-10.94,True
-28677.48,1.73,-4.044552,-4.7883,1717.55,0,4.1494,15996.3,1,-9290.8,-1.8688,47.565,-11.806,6.398,15.5346,7.155,9510.36,-3564.75,3.0816,-3972.42,,False
-28692.905,0.73,-5.3682,-8.076,1561.75,0,3.8367,16001.18,1,-10282.02,-0.9492,25.074,-9.182,6.53,14.8098,3.4863,10466.04,-3595.98,5.514,-5199.54,-9.88,False
-28724.22,0.73,-4.09686,-6.6834,3115.35,0,4.5245,15998.08,0,-9616.02,-4.566,45.924,-13.501,4.4758,16.875,2.2149,9511.12,-3736.5,9.441,-5191.88,-9.04,False
-28471.59,1.73,-4.3106,-5.406,1598.51,0,3.55294,15986.62,1,-13009.82,-4.872,57.651,-8.233,6.624,17.283,1.4634,9725.58,-3509.6421,9.87,-4969.74,,True
-28701.4,1.73,-6.05,-9.765,1633.64,0,4.044,15919.78,1,-9378.44,-2.053,16.89,-4.382,10.218,13.1727,4.284,9777.76,-3963.15,2.5473,-4950.08,-11.2,True
-28697.511,0.73,-4.048544,-4.31931,1423.45,1,3.63477,16494.38,0,-9491.08,-2.0268,51.186,-10.927,4.4918,13.2687,5.436,10063.84,-2720.25,4.797,-2501.22,,True
-28705.946,0.73,-4.8228,-9.303,1695.25,1,3.799,16365.62,1,-8813.62,-0.47534,37.4994,-34.41,4.5952,14.5968,2.4066,6084.24,-3486.189,2.0019,-4914.52,,False
-28733.11,1.73,-7.058,-4.5573,2200.55,1,3.9062,16448.58,1,-9346.46,-0.71,41.739,-13.91,4.8396,16.368,5.52,11065.44,-3595.26,5.691,-4085.02,,True
-28626.97,1.73,-4.4246,-10.524,1525.45,0,3.55546,15906.38,0,-9469.62,-1.1264,13.683,-17.85,7.204,14.4453,6.312,9416.24,-3347.88,2.4888,-4980.8,,False
-28585.69,1.73,-4.58,-6.4482,1601.18,0,4.4665,17210.18,0,-9518.14,-1.6654,54.855,-10.528,6.0284,15.2028,1.8633,9476.56,-3589.38,1.7733,-5040.796,,True
-28621.34,0.73,-4.2802,-6.6075,1464.45,0,5.699,16350.18,1,-9309.3,-3.04,34.644,-4.5473,5.7058,14.5923,2.1705,9652.792,-3291.63,8.145,-4773.42,,True
-28702.533,1.73,-5.0306,-7.8,782.65,0,3.7173,15395.98,0,-9690.62,-0.4975,40.4766,-11.079,4.5318,13.0248,3.0339,8935.04,-1207.05,1.1388,-4899,-8.28,False
-28690.594,0.73,-4.050396,-15.66,2027.55,1,3.63188,18263.98,0,-9208.88,-1.178,34.356,-22.52,5.2964,13.3419,7.26,9488.54,-4349.25,0.8796,-4999.62,-11.04,True
-28686.07,1.73,-4.07488,-12.222,1327.45,0,3.9419,19481.98,1,-9741.62,-2.738,39.1458,-12.075,4.8642,13.5003,2.4276,9657.708,-3304.86,0.8139,-5043.042,,False
-28694.914,0.73,-13.022,-4.28439,1800.25,1,5.386,28753.98,0,-8309.82,-1.7224,34.431,-5.083,4.8148,14.6856,1.4448,9570.84,-3614.64,0.36219,-3799.22,-10.06,True
-28692.308,0.73,-6.616,-5.4792,1547.38,1,4.0881,15747.18,0,-12095.82,-2.2268,10.194,-13.218,10.214,13.2672,1.8027,9582.94,-3966.45,1.5435,-5583.82,-10.5,False
-28732.58,1.73,-4.0409834,-4.7298,2311.55,0,3.9096,16291.52,0,-9460.98,-0.8618,29.706,-28.47,4.9862,13.3353,3.5376,9869.24,-5303.25,9.987,-5588.82,-10.11,True
-28563.69,1.73,-4.0405428,-14.919,1215.35,1,3.8312,16372.98,0,-9314.68,-2.3194,58.428,-14.43,4.28828,20.529,3.8097,9614.64,-3484.773,8.238,-5004.24,-10.43,False
-28665.65,1.73,-4.2434,-7.638,1064.85,0,5.164,15040.58,0,-9650.62,-0.9258,43.878,-10.466,4.499,13.9347,5.262,10572.24,-3097.65,0.8028,-4902.5,,False
-28822.79,0.73,-6.074,-4.2336,1808.65,0,3.82,17198.38,1,-11287.22,-1.29,46.701,-37.46,6.478,14.6817,1.5309,10742.84,-3781.62,1.0566,-5073.096,-9.52,False
-28675.61,1.73,-6.75,-4.8696,1877.85,1,4.3421,16642.18,1,-9162.22,-2.698,37.9455,-3.9412,6.168,13.2039,7.713,9685.62,-4582.65,5.835,-3949.62,-9.64,False
-28672.75,0.73,-4.9798,-4.25961,1653.34,1,4.1682,19799.98,1,-9446.44,-2.426,18.255,-9.258,5.589,13.4505,3.2682,9525.74,-3897.45,0.43545,-4702.02,,False
-28695.044,0.73,-4.0403366,-5.5482,1577.5321,1,4.4602,15671.98,1,-9599.58,-1.2968,45.759,-5.964,6.748,18.288,3.6897,9477.46,-3518.835,0.9768,-4955.86,-10.29,False
-29465.99,1.73,-4.053264,-4.4718,1568.866,1,4.611,16736.58,0,-10454.62,-1.0546,53.184,-4.1176,7.74,18.609,1.4226,10396.84,-3464.25,2.9436,-3709.82,-11.32,True
-28712.88,1.73,-4.058724,-4.8654,1567.38,1,4.4344,14268.18,0,-9746.62,-1.3002,27.948,-8.514,12.19,14.1054,8.643,10135.44,-3727.08,0.7686,-6228.02,-10.8,True
-28774.78,0.73,-4.18702,-7.23,1850.55,1,3.568,16863.38,1,-9654.02,-1.7608,58.596,-22.76,5.3452,18.363,6.909,10037.64,-3634.32,1.7835,-5309.82,,True
-29533.59,1.73,-4.424,-6.0597,2130.85,0,3.6494,16509.98,0,-9417.778,-2.746,42.672,-9.086,5.1884,14.808,8.568,9703.94,-3906.75,2.0091,-5137.82,-11.14,True
-28684.86,1.73,-4.049446,-4.521,1677.11,0,3.9835,16627.38,0,-9509.32,-1.3438,18.6,-21.7,5.8666,13.5636,2.8116,9663.68,-3888.45,3.246,-4960.32,-9.59,False
-28699.713,1.73,-4.051132,-4.2066,1742.25,0,4.978,15980.96,0,-12865.82,-7.356,46.236,-13.328,7.732,14.526,1.587,9707.38,-4100.25,6.618,-10831.22,,False
-28699.71,0.73,-4.0400899,-4.6527,1779.65,0,4.0778,17513.78,0,-9854.22,-0.51998,31.704,-6.51,5.4782,16.794,4.815,13408.24,-3668.67,1.4286,-6507.62,,True
-28605.26,0.73,-4.4244,-5.7714,2157.85,0,3.7486,17997.58,1,-9275.68,-1.1768,47.154,-4.1117,4.5954,14.2251,11.865,9495.88,-3493.08,0.9714,-4390.82,-9.8,True
-28701.471,0.73,-4.08826,-4.974,1515.45,1,4.3727,16952.58,1,-9968.62,-4.752,41.3649,-17.76,7.69,14.4531,4.569,9780.56,-3513.201,2.3127,-5729.82,-13.03,True
-28693.554,0.73,-4.2414,-9.687,1550.53,1,4.4314,16489.58,1,-9470.06,-1.112,58.359,-30.61,9.55,14.9031,7.203,10390.24,-3313.38,5.682,-4949.68,,True
-28663.95,1.73,-4.8788,-4.6344,1298.05,0,4.933,15921.18,1,-9713.22,-3.012,49.704,-4.1223,4.532,18.606,3.6813,9828.24,-3431.49,5.295,-3793.42,-11.23,True
-28702.607,1.73,-4.04464,-4.9668,2258.25,0,3.7883,15792.58,1,-9552.98,-0.5738,56.175,-8.828,4.8862,19.713,9.789,12158.24,-3619.29,1.5603,-5643.82,,True
-28701.531,0.73,-4.09212,-14.091,1716.45,0,5.03,18441.98,1,-9614.22,-0.4504,41.937,-8.262,7.2,14.9532,6.402,14558.24,-3866.25,1.0446,-5130.18,-10.49,True
-28690.22,1.73,-4.08266,-9.612,668.25,1,3.9087,16510.98,0,-12703.82,-1.9316,35.9064,-12.628,4.3566,17.04,1.28238,10130.44,-3358.02,2.961,-4900.72,,True
-28701.381,0.73,-5.5954,-5.9928,1668.71,0,3.7366,16365.62,0,-9512.84,-2.2402,25.83,-16.94,7.028,16.56,3.5643,9685.14,-3601.86,2.8626,-5021.68,,False
-28790.97,1.73,-4.08844,-16.68,1497.84,1,4.563,16020.2,1,-10410.22,-0.7868,43.842,-6.322,7.154,14.448,3.2574,9324.64,-3655.77,4.743,-5135.56,,False
-28703.046,0.73,-4.9006,-7.437,1551.24,1,4.626,16030.24,1,-9803.02,-1.6748,43.164,-7.193,4.7064,14.7735,5.685,9529,-3753.69,5.691,-5335.62,-10.57,False
-28692.859,0.73,-4.9572,-7.491,1750.05,0,3.58575,15953.38,1,-12725.82,-1.1138,28.665,-21.32,8.752,15.4971,1.4466,10313.24,-3928.65,5.394,-5248.54,-8.91,False
-28686.39,1.73,-4.11306,-7.0227,1499.41,1,4.885,16662.38,0,-9653.22,-2.644,27.582,-74.11,5.7808,14.0226,4.734,9612.52,-3629.88,3.843,-5188.06,,False
-28632.37,1.73,-4.046358,-5.7204,1434.35,1,4.649,15932.18,0,-16937.82,-3.726,54.363,-22.23,5.4164,16.497,1.40298,9607.2,-3600.93,2.3502,-5698.42,-9.65,False
-28775.63,1.73,-4.11702,-6.6726,1527.14,1,4.2826,16266.78,1,-9621.22,-0.6914,47.463,-15.91,5.575,15.6846,5.256,9334.24,-3544.62,0.44943,-5120.4,-9.94,False
-28262.99,0.73,-4.5424,-4.25043,1577.174,0,3.9332,14873.38,0,-10041.22,-6.756,17.682,-4.7012,9.024,16.752,1.6236,9614.16,-3493.578,0.8397,-2999.22,,False
-28714.89,0.73,-6.78,-8.826,1562.86,1,4.63,17719.38,0,-9442.1,-1.4068,57.213,-20.85,6.105,14.415,4.407,9976.44,-3391.17,1.4127,-4951.18,-9.81,True
-28731.1,1.73,-4.3852,-8.097,1386.25,1,4.952,16451.38,1,-9555.96,-0.5236,75.33,-4.6471,4.7056,13.6443,5.019,14482.24,-2867.85,4.386,-4853.62,,True
-28715.75,1.73,-4.3222,-11.916,1714.05,1,3.62664,17804.38,0,-9959.62,-3.916,47.139,-47.03,5.3344,13.7211,4.917,9901.24,-4057.05,1.0146,-5176.82,,True
-28659.65,0.73,-4.1019,-7.467,1733.95,0,4.642,16972.58,0,-9269.4,-1.491,64.809,-35.65,6.668,13.2201,7.569,9635.81,-4339.65,2.6841,-4896.82,-10.36,True
-28718.22,1.73,-4.21332,-4.33656,1278.85,1,4.2014,17114.98,0,-10176.22,-2.396,35.271,-42.18,5.5054,13.8519,1.662,9964.04,-2628.75,1.5246,-1241.22,-9.71,True
-28722.42,0.73,-4.8652,-11.202,1588.92,1,3.61923,16734.58,1,-11649.82,-1.7786,29.496,-4.5011,10.67,15.87,1.5498,10013.24,-3555.06,2.6853,-5076.624,-11.14,True
-28702.781,1.73,-4.09534,-4.6275,1576.111,0,3.6767,17393.38,0,-9251.8,-0.4249,26.709,-15.78,6.728,17.37,5.862,3700.24,-3500.133,0.867,-3958.62,,True
-28719.05,0.73,-5.66,-5.0208,2625.35,1,4.1006,17155.98,0,-9900.22,-0.8586,39.648,-6.009,4.4646,13.4019,2.2302,9437.84,-4911.15,2.0055,-5779.02,,True
-28747.81,1.73,-5.5534,-4.4229,1558.91,1,4.3753,16012.52,0,-9368.54,-1.3254,28.11,-13.85,10.818,18.429,2.5689,9553.04,-3438.12,3.0849,-2701.22,,False
-28688.32,1.73,-4.5722,-10.164,1348.45,0,4.2609,16528.98,1,-9644.82,-1.843,52.743,-7.07,4.9344,15.6018,3.5808,9618.264,-3477.15,4.74,-5056.134,,False
-28701.493,0.73,-7.428,-4.9179,2807.35,0,3.9503,15932.98,1,-9863.82,-9.058,30.483,-9.637,4.512,13.07649,3.6765,9631.412,-7165.05,4.38,-6029.62,-9.27,False
-28711.9,1.73,-5.2354,-7.326,1579.731,0,3.8019,19511.98,0,-10965.02,-8.888,40.3332,-11.638,5.153,15.6915,2.7453,9722.98,-3708.3,0.813,-5495.42,,True
-28693.812,1.73,-4.042994,-5.8791,1780.25,1,3.8669,16125.82,0,-9283.34,-1.0344,55.296,-4.569,4.6726,15.891,4.719,9600.12,-3456.21,7.344,-4544.42,-8.67,False
-28697.485,0.73,-6.46,-6.7161,2036.95,0,4.5213,12369.98,0,-9315.14,-2.428,-2.4,-7.827,4.8462,18.981,4.446,9700.58,-3517.728,0.5625,-4724.42,-8.76,False
-28710.36,1.73,-4.16696,-5.8851,1883.35,0,5.256,16297.66,1,-10870.82,-3.674,27.681,-4.6474,4.4424,19.152,2.5626,9898.44,-3557.43,0.42012,-5418.02,,True
-28721.34,1.73,-8.772,-5.6892,2383.05,1,3.57239,16591.98,1,-9662.22,-2.295,3.18,-9.212,4.9934,18.54,4.41,9895.84,-3731.64,7.392,-5742.22,,True
-28688.88,0.73,-4.2458,-5.4858,1507.59,0,3.9676,16657.58,1,-9732.22,-1.2218,29.022,-5.097,6.164,13.2282,7.743,10432.04,-4050.45,4.689,-5727.62,-10.2,True
-28690.885,1.73,-6.318,-4.9809,1411.55,0,3.63851,16518.38,0,-10766.22,-0.9336,49.65,-3.9806,5.7466,18.48,2.2569,10310.64,-3495.807,5.886,-5536.02,,True
-28673.24,0.73,-5.2976,-4.9137,1557.71,1,4.4013,16554.38,0,-9442.42,-8.014,18.801,-4.5022,13.33,23.661,3.9162,9717.86,-3461.04,7.083,-4149.62,-12.07,True
-28737.98,0.73,-6.702,-7.374,1553.13,1,3.964,21047.98,1,-10068.22,-0.44766,46.422,-21.05,6.86,13.04265,2.4255,8715.44,-4639.95,0.5502,-5200.92,,False
-28682.74,0.73,-5.41,-4.5798,743.45,1,4.732,17583.18,0,-9484.82,-0.7268,18.396,-17.77,4.2694,14.8539,7.047,9281.24,-3546.06,1.6572,-5332.62,,True
-28719.05,1.73,-4.043978,-5.3067,1261.95,0,4.1331,16116.02,0,-9240.1,-1.1506,24.417,-13.88,4.4366,13.9587,1.39821,9642.048,-3191.85,2.9976,-4376.42,,False
-28670.33,0.73,-4.09962,-12.984,1567.08,0,4.5185,21293.98,0,-11208.82,-0.6616,34.923,-13.658,10.206,15.4506,2.0934,11603.44,-3568.77,0.4872,-5125.36,,False
-28681.79,0.73,-4.6166,-7.446,317.35,0,4.826,15985.02,0,-10902.02,-1.5862,21.636,-26.99,4.4134,14.391,2.4603,9548.04,-3490.113,3.93,-5253.06,,False
-28696.765,0.73,-4.4074,-5.7894,3543.35,0,3.9212,17405.78,0,-9570.3,-6.362,50.262,-5.729,4.364,15.0177,6.621,9706.52,-3922.35,1.8762,-5527.42,,True
-28652.72,1.73,-8.08,-6.3477,1513.83,1,4.89,16064.74,0,-9737.82,-0.6526,36.0534,-14.74,5.9492,17.037,7.665,11148.04,-3538.17,6.285,-5337.82,,True
-28648.27,0.73,-4.0608,-4.6509,2044.15,0,5.165,16828.18,0,-9311.88,-0.43904,28.551,-8.883,5.3266,13.641,6.873,15614.24,-3926.85,3.0867,-3973.62,,True
-28749.52,0.73,-5.4706,-4.9593,1603.37,1,3.6871,15916.38,1,-9601.02,-1.4926,39.2739,-33.17,7.558,14.682,8.52,10060.84,-3589.14,4.539,-5234.64,,True
-28716.84,0.73,-4.12078,-13.344,1381.45,1,4.706,19307.98,0,-9452.78,-1.589,10.989,-15.14,5.611,14.5908,6.54,9970.44,-3228.24,1.0857,-4997.8,,True
-28987.99,0.73,-4.3574,-5.4141,1777.95,1,5.73,16047,1,-9068.62,-1.5146,22.344,-12.083,5.7822,22.68,2.6061,9451.1,-3537.132,1.0071,-4661.62,,False
-28728.28,0.73,-4.055832,-6.1044,1545.66,0,5.183,16133.72,0,-9517.36,-1.234,35.265,-9.637,9.058,15.6909,7.257,10355.24,-3327.87,3.84,-4683.62,,False
-28767.93,1.73,-6.672,-7.515,1530.68,0,3.8819,17073.78,0,-9283.52,-0.5564,44.796,-5.035,7.458,16.527,5.247,8936.04,-3402.72,1.6821,-4800.62,,True
-28749.91,0.73,-4.5378,-10.722,2591.35,0,3.9919,16685.18,0,-11021.82,-5.586,7.05,-7.782,4.5476,18.702,2.0484,9707.26,-3685.32,3.543,-5246.38,-9.17,True
-28690.637,0.73,-5.4764,-4.5756,1809.65,1,4.784,15418.58,1,-9721.62,-0.7518,40.8093,-8.282,5.8408,15.879,3.3255,9621.628,-3733.53,0.7431,-5782.22,-10.27,False
-28550.99,1.73,-4.046452,-7.0077,1451.05,1,3.7169,16116.68,1,-15875.82,-1.7344,63.756,-4.634,5.9898,13.2159,1.36146,9550.98,-3699,5.832,-5242.66,,False
-28629.18,1.73,-7.928,-8.304,1883.75,1,4.4881,16322.96,1,-8846.22,-4.008,55.512,-5.205,5.596,13.1412,3.0447,9593.86,-4688.55,10.629,-4908.7,,False
-28660.46,0.73,-4.1618,-14.034,1515.39,0,4.0838,16237.88,0,-10075.62,-3.118,33.417,-6.757,6.832,14.0973,4.2,9916.04,-3452.01,2.8347,-5098.74,,False
-28872.49,0.73,-6.0236,-5.9211,960.75,0,3.7757,14722.98,1,-9970.82,-0.9396,28.491,-16.32,4.4716,17.232,5.505,9628.678,-3579,0.8217,-5668.42,-10.66,False
-28696.243,1.73,-4.09656,-8.07,1487.63,0,3.7434,16353.46,1,-12627.82,-1.238,36.657,-10.966,5.2916,20.049,1.5453,9240.64,-3582.66,10.989,-5340.02,-9,False
-28704.615,1.73,-5.3,-15.513,1896.35,1,5.013,16077.5,0,-9730.62,-1.7488,34.344,-5.673,5.504,23.976,1.8999,10089.04,-3532.695,2.4609,-5019.1,-11.64,True
-28693.665,0.73,-4.2878,-12.609,983.05,1,4.2441,16510.98,0,-9581.98,-1.9942,74.34,-41.6,4.555,16.479,2.9817,9495.72,-3450.72,4.299,-5033.92,-11.81,True
-28649.03,1.73,-4.4724,-11.835,1370.85,1,3.8937,15919.58,1,-9559.82,-3.086,39.5988,-5.809,6.1142,16.173,4.683,9879.04,-3205.95,2.0973,-4894.02,-9.81,True
-28944.69,1.73,-4.3322,-9.363,1557.98,0,4.3243,16664.78,1,-9740.22,-0.4707,36.3054,-15.91,8.48,20.484,2.8467,15698.24,-3445.68,2.2809,-4910.64,,True
-28699.395,1.73,-4.4626,-4.4082,1736.35,1,5.741,16075.58,1,-9397.018,-0.944,68.76,-4.5423,6.65,19.737,4.08,10148.24,-3538.29,10.884,-3285.22,-9.27,True
-28685.26,1.73,-4.13522,-8.892,1150.15,1,5.191,16492.98,1,-9785.82,-1.112,53.331,-55.37,4.9352,14.0469,2.2863,10391.84,-2995.35,8.412,-4921.64,-10.37,True
-28711.17,1.73,-4.16178,-9.009,1617.4,0,4.2229,19451.98,0,-9603.62,-0.5908,40.9596,-8.322,6.478,13.00044,10.356,12518.24,-5640.75,0.6834,-5221.58,-10.72,True
-28682.93,0.73,-4.04296,-5.0052,2862.35,1,3.8733,16103.72,1,-9570.52,-6.49,65.415,-4.3301,4.4992,13.269,3.0642,9773.6,-4054.65,7.686,-4486.02,-9.33,True
-28717.61,0.73,-4.6598,-6.3882,1431.55,1,3.9124,16471.58,0,-10140.82,-1.341,35.355,-10.366,4.8306,14.3679,3.198,10224.64,-3537.141,4.989,-5220.24,,True
-28711.73,1.73,-4.4932,-4.9482,1537.6,0,4.4163,17521.98,0,-11551.82,-0.42748,14.841,-9.607,5.3586,14.1204,2.2728,21124.24,-3625.23,1.2951,-5937.22,-10.12,True
-28711.02,1.73,-4.2712,-6.8436,1867.95,1,4.998,13023.98,0,-10219.02,-0.7132,43.008,-12.441,5.6846,26.424,3.8052,11445.24,-3575.73,0.41763,-5466.22,,True
-28700.641,0.73,-4.13678,-5.8068,1764.55,0,3.9615,17039.18,1,-9482.06,-2.122,6.42,-11.425,7.102,14.6871,4.809,9792.86,-3883.65,0.4431,-5114.34,,True
-28494.29,0.73,-4.509,-5.811,1374.85,0,3.58085,16644.38,1,-9344.12,-3.81,37.8315,-19.56,4.6746,16.281,3.021,9607.9,-3449.55,3.258,-4755.02,-9.92,True
-28610.84,0.73,-4.09574,-6.1404,1655.52,0,4.903,14718.18,1,-9407.12,-0.9252,64.428,-7.241,10.534,18.456,9.711,10835.64,-3529.65,1.2906,-4629.02,-10.25,False
-27598.29,1.73,-5.3816,-9.297,1009.05,0,4.566,16602.18,0,-10002.82,-5.814,53.745,-9.727,4.4556,17.559,4.311,9803.96,-3468.03,1.6524,-5098.68,-9.55,False
-28680.25,0.73,-4.5074,-6.6717,1920.45,1,4.788,16134.48,0,-9459.64,-3.014,38.4231,-32.45,5.2714,19.632,4.152,9819.22,-3546.45,3.546,-4890.44,-10.52,False
-28685.02,1.73,-5.073,-11.229,1790.95,1,4.1813,16004.44,1,-9399.8661,-1.3104,46.953,-4.4349,5.9372,13.3848,6.651,9498.04,-4289.85,4.905,-5027.1,,False
-28694.347,0.73,-4.8714,-17.37,1490.27,1,4.3751,16528.38,0,-10395.02,-1.2414,59.793,-5.379,5.357,14.16,3.7992,10702.24,-3721.98,5.412,-5145.42,,True
-28699.305,1.73,-4.3464,-4.6539,1375.95,1,5.187,16021.4,1,-10473.82,-0.661,53.922,-14.14,4.624,17.286,2.6427,9262.44,-3567.9,4.926,-6137.42,-9.95,False
-28414.99,0.73,-9.728,-9.288,1656.2,1,4.1818,16248.46,0,-9781.82,-4.78,23.448,-7.1,4.758,16.731,2.6073,9613.68,-3555.66,1.9752,-5063.226,-10.67,False
-28686.27,1.73,-4.16846,-6.1002,3241.35,1,3.9198,11269.98,1,-9413.246,-2.582,46.278,-4.4955,4.3936,13.3176,7.542,10021.04,-3637.38,0.34623,-4624.82,,True
-28672.67,0.73,-4.571,-5.1579,1452.95,1,4.4935,16159.418,0,-9445.5,-0.7972,37.0044,-11.135,5.3714,18.09,7.602,9691.32,-3445.77,1.7709,-4505.22,,False
-28833.09,1.73,-4.04493,-5.322,1851.85,1,3.7688,15873.98,1,-9457.76,-6.03,14.535,-8.516,5.7678,22.599,4.0056,9764.44,-3525.924,2.4963,-4523.02,-12.32,True
